transaction_id,customer_id,amount,payment_method,payment_status,failure_reason,previous_transactions,previous_successes,previous_failures,previous_success_rate,retry_count,days_since_failure,checkout_abandoned,customer_lifetime_value,recovered
txn_000113,cust_01623,1630.81,upi,failed,bank_decline,5,5,0,1.0,2,11.69,0,56665.03,0
txn_000114,cust_01963,1170.73,wallet,failed,bank_decline,38,31,7,0.8158,3,2.26,0,19359.66,0
txn_000115,cust_02200,1502.13,netbanking,success,none,12,11,1,0.9167,0,0.0,0,71904.51,1
txn_000116,cust_00230,1016.89,netbanking,success,none,40,34,6,0.85,0,0.0,0,127610.92,1
txn_000117,cust_02275,4095.24,upi,success,none,37,23,14,0.6216,0,0.0,0,73060.85,1
txn_000118,cust_01449,2373.45,upi,abandoned,none,26,23,3,0.8846,0,2.04,1,45035.77,1
txn_000119,cust_01537,915.0,card,success,none,26,19,7,0.7308,0,0.0,0,12149.74,1
txn_000120,cust_02438,5034.59,upi,failed,network_error,14,13,1,0.9286,2,9.97,0,71451.01,1
txn_000121,cust_00356,1000.37,wallet,failed,network_error,9,8,1,0.8889,3,11.63,0,96042.58,0
txn_000122,cust_02151,520.21,netbanking,success,none,30,28,2,0.9333,0,0.0,0,132351.25,1
txn_000123,cust_00154,1325.12,card,failed,authentication_failed,7,7,0,1.0,0,11.21,0,140900.57,0
txn_000124,cust_00632,587.49,card,success,none,10,7,3,0.7,0,0.0,0,85381.84,1
txn_000125,cust_02145,3415.93,netbanking,failed,bank_decline,3,2,1,0.6667,0,11.53,0,33604.05,0
txn_000126,cust_00544,575.11,card,failed,authentication_failed,8,6,2,0.75,3,10.02,0,21826.77,0
txn_000127,cust_00017,1193.48,netbanking,abandoned,none,23,16,7,0.6957,0,4.84,1,90955.18,0
txn_000128,cust_00357,3427.92,netbanking,success,none,32,27,5,0.8438,0,0.0,0,16285.56,1
txn_000129,cust_02133,657.07,netbanking,success,none,15,12,3,0.8,0,0.0,0,133824.19,1
txn_000130,cust_00860,2020.59,netbanking,success,none,12,8,4,0.6667,0,0.0,0,119260.76,1
txn_000131,cust_02181,506.02,netbanking,failed,insufficient_funds,11,9,2,0.8182,2,2.18,0,39480.69,1
txn_000132,cust_00063,1710.23,upi,success,none,28,21,7,0.75,0,0.0,0,24565.51,1
txn_000133,cust_01305,2361.96,netbanking,success,none,23,18,5,0.7826,0,0.0,0,71948.22,1
txn_000134,cust_01161,1284.15,card,success,none,32,29,3,0.9062,0,0.0,0,69663.52,1
txn_000135,cust_01388,1385.1,wallet,success,none,37,35,2,0.9459,0,0.0,0,95227.9,1
txn_000136,cust_00207,2088.05,upi,success,none,5,4,1,0.8,0,0.0,0,142382.3,1
txn_000137,cust_01606,1011.81,card,failed,technical_error,23,18,5,0.7826,3,8.67,0,137183.02,0
txn_000138,cust_00812,3260.23,upi,abandoned,none,13,8,5,0.6154,0,5.31,1,43630.52,0
txn_000139,cust_00540,5277.15,upi,failed,authentication_failed,40,22,18,0.55,0,6.43,0,33983.71,0
txn_000140,cust_01907,530.71,wallet,success,none,38,37,1,0.9737,0,0.0,0,72918.55,1
txn_000141,cust_01057,7840.51,netbanking,success,none,5,4,1,0.8,0,0.0,0,137669.46,1
txn_000142,cust_01354,988.82,netbanking,success,none,15,14,1,0.9333,0,0.0,0,44521.4,1
txn_000143,cust_01947,9841.32,upi,success,none,40,33,7,0.825,0,0.0,0,90392.72,1
txn_000144,cust_00700,1002.33,netbanking,failed,technical_error,21,18,3,0.8571,1,7.16,0,91145.87,1
txn_000145,cust_00439,2717.26,netbanking,success,none,31,27,4,0.871,0,0.0,0,147056.45,1
txn_000146,cust_01238,2702.71,wallet,success,none,39,37,2,0.9487,0,0.0,0,117881.37,1
txn_000147,cust_00999,909.31,card,abandoned,none,34,28,6,0.8235,0,2.75,1,34625.08,1
txn_000148,cust_02421,1440.33,wallet,failed,authentication_failed,9,8,1,0.8889,2,7.67,0,107564.2,0
txn_000149,cust_00320,5652.77,wallet,success,none,6,3,3,0.5,0,0.0,0,42560.31,1
txn_000150,cust_01333,970.51,upi,failed,bank_decline,38,37,1,0.9737,2,13.39,0,13628.04,1
txn_000151,cust_00446,882.23,wallet,success,none,33,22,11,0.6667,0,0.0,0,40808.73,1
txn_000152,cust_00252,422.65,upi,success,none,5,4,1,0.8,0,0.0,0,107318.18,1
txn_000153,cust_02379,6422.43,upi,failed,bank_decline,11,11,0,1.0,3,7.48,0,5257.12,0
txn_000154,cust_02368,828.17,wallet,success,none,26,24,2,0.9231,0,0.0,0,16348.39,1
txn_000155,cust_01297,4446.98,netbanking,success,none,38,35,3,0.9211,0,0.0,0,103875.16,1
txn_000156,cust_01248,734.1,wallet,failed,network_error,28,21,7,0.75,0,8.2,0,42118.32,0
txn_000157,cust_02091,4309.53,wallet,failed,network_error,20,18,2,0.9,0,5.23,0,32297.88,1
txn_000158,cust_00218,3000.83,upi,failed,network_error,14,12,2,0.8571,0,12.07,0,65053.33,0
txn_000159,cust_00964,1065.89,wallet,failed,authentication_failed,16,13,3,0.8125,2,9.99,0,5704.01,0
txn_000160,cust_01783,642.73,card,success,none,39,29,10,0.7436,0,0.0,0,91748.47,1
txn_000161,cust_00771,697.13,wallet,failed,network_error,9,7,2,0.7778,3,2.24,0,114067.33,0
txn_000162,cust_00515,688.28,card,success,none,29,23,6,0.7931,0,0.0,0,5971.32,1
txn_000163,cust_00590,3886.18,wallet,success,none,28,20,8,0.7143,0,0.0,0,103228.53,1
txn_000164,cust_00557,1572.2,upi,success,none,24,18,6,0.75,0,0.0,0,15803.84,1
txn_000165,cust_01868,439.17,wallet,success,none,9,7,2,0.7778,0,0.0,0,63405.04,1
txn_000166,cust_01738,1040.93,wallet,success,none,7,6,1,0.8571,0,0.0,0,145902.0,1
txn_000167,cust_01740,1174.95,upi,success,none,29,17,12,0.5862,0,0.0,0,116330.6,1
txn_000168,cust_00970,157.75,netbanking,success,none,4,3,1,0.75,0,0.0,0,106160.51,1
txn_000169,cust_01504,1100.46,upi,abandoned,none,21,13,8,0.619,0,4.02,1,41417.44,0
txn_000170,cust_00464,2760.57,wallet,abandoned,none,29,20,9,0.6897,0,0.65,1,15857.04,0
txn_000171,cust_02157,1167.21,netbanking,success,none,37,35,2,0.9459,0,0.0,0,26903.62,1
txn_000172,cust_02499,1727.46,upi,success,none,38,38,0,1.0,0,0.0,0,39134.84,1
txn_000173,cust_00320,2174.41,netbanking,success,none,6,3,3,0.5,0,0.0,0,42560.31,1
txn_000174,cust_02192,950.89,upi,success,none,33,28,5,0.8485,0,0.0,0,40413.58,1
txn_000175,cust_01922,2781.53,netbanking,success,none,25,23,2,0.92,0,0.0,0,23149.51,1
txn_000176,cust_01207,5753.04,netbanking,success,none,20,17,3,0.85,0,0.0,0,25205.09,1
txn_000177,cust_02448,291.82,netbanking,failed,technical_error,21,19,2,0.9048,2,0.95,0,3245.09,1
txn_000178,cust_00693,948.75,upi,success,none,4,2,2,0.5,0,0.0,0,55941.9,1
txn_000179,cust_00112,13761.33,netbanking,success,none,5,4,1,0.8,0,0.0,0,67026.48,1
txn_000180,cust_00315,1588.53,netbanking,success,none,18,13,5,0.7222,0,0.0,0,92770.94,1
txn_000181,cust_01128,1293.55,netbanking,success,none,13,11,2,0.8462,0,0.0,0,8678.96,1
txn_000182,cust_00716,1034.79,card,success,none,22,16,6,0.7273,0,0.0,0,13143.8,1
txn_000183,cust_00719,4790.72,netbanking,failed,bank_decline,26,21,5,0.8077,3,2.61,0,20213.8,0
txn_000184,cust_00136,523.75,netbanking,abandoned,none,6,5,1,0.8333,0,6.77,1,63464.51,0
txn_000185,cust_00632,3381.84,wallet,failed,authentication_failed,10,7,3,0.7,3,3.41,0,85381.84,0
txn_000186,cust_00686,1015.61,card,success,none,40,36,4,0.9,0,0.0,0,49158.03,1
txn_000187,cust_00223,632.8,netbanking,failed,insufficient_funds,11,8,3,0.7273,0,2.43,0,99168.76,1
txn_000188,cust_01235,1063.05,wallet,failed,technical_error,33,23,10,0.697,1,5.38,0,61798.58,0
txn_000189,cust_01944,1278.73,netbanking,success,none,24,21,3,0.875,0,0.0,0,123971.34,1
txn_000190,cust_00049,814.24,netbanking,abandoned,none,38,33,5,0.8684,0,3.2,1,60510.68,1
txn_000191,cust_02172,4075.6,upi,success,none,27,24,3,0.8889,0,0.0,0,121864.72,1
txn_000192,cust_01450,637.73,wallet,success,none,4,3,1,0.75,0,0.0,0,117786.44,1
txn_000193,cust_01117,1540.83,netbanking,success,none,27,24,3,0.8889,0,0.0,0,23233.42,1
txn_000194,cust_01046,2292.58,wallet,success,none,19,12,7,0.6316,0,0.0,0,55764.04,1
txn_000195,cust_00991,1524.96,card,success,none,6,5,1,0.8333,0,0.0,0,52608.16,1
txn_000196,cust_00737,2899.32,netbanking,success,none,12,10,2,0.8333,0,0.0,0,124870.41,1
txn_000197,cust_00279,868.21,upi,success,none,17,16,1,0.9412,0,0.0,0,57486.48,1
txn_000198,cust_01827,2496.46,netbanking,success,none,18,11,7,0.6111,0,0.0,0,32197.97,1
txn_000199,cust_00791,2571.46,upi,success,none,34,31,3,0.9118,0,0.0,0,82068.21,1
txn_000200,cust_02434,3526.71,card,abandoned,none,16,11,5,0.6875,0,4.5,1,58334.89,0
txn_000201,cust_00492,203.23,upi,failed,bank_decline,30,24,6,0.8,3,9.22,0,39043.68,0
txn_000202,cust_02319,2228.42,card,failed,bank_decline,16,15,1,0.9375,2,4.19,0,41141.83,0
txn_000203,cust_00311,3298.65,wallet,abandoned,none,24,20,4,0.8333,0,2.01,1,95702.18,1
txn_000204,cust_01325,887.62,netbanking,success,none,21,19,2,0.9048,0,0.0,0,30364.07,1
txn_000205,cust_00256,774.47,wallet,success,none,15,12,3,0.8,0,0.0,0,58072.26,1
txn_000206,cust_01058,664.23,netbanking,success,none,8,7,1,0.875,0,0.0,0,10201.95,1
txn_000207,cust_00822,477.23,wallet,success,none,6,6,0,1.0,0,0.0,0,65160.47,1
txn_000208,cust_00590,2606.49,wallet,success,none,28,20,8,0.7143,0,0.0,0,103228.53,1
txn_000209,cust_01809,13120.13,netbanking,success,none,15,11,4,0.7333,0,0.0,0,53937.23,1
txn_000210,cust_02341,768.15,netbanking,failed,insufficient_funds,22,19,3,0.8636,3,2.17,0,39705.6,0
txn_000211,cust_00155,840.04,wallet,success,none,9,7,2,0.7778,0,0.0,0,40405.42,1
txn_000212,cust_01603,1360.21,upi,success,none,25,23,2,0.92,0,0.0,0,53865.89,1
txn_000213,cust_02010,269.89,wallet,success,none,21,18,3,0.8571,0,0.0,0,144909.15,1
txn_000214,cust_00288,668.11,card,success,none,3,2,1,0.6667,0,0.0,0,113380.75,1
txn_000215,cust_01975,1265.26,upi,success,none,21,18,3,0.8571,0,0.0,0,76112.41,1
txn_000216,cust_01471,547.89,netbanking,success,none,10,7,3,0.7,0,0.0,0,80922.14,1
txn_000217,cust_00372,4435.7,netbanking,success,none,29,27,2,0.931,0,0.0,0,45305.62,1
txn_000218,cust_00330,367.3,wallet,failed,network_error,34,17,17,0.5,1,2.55,0,142261.32,1
txn_000219,cust_01574,3297.78,card,success,none,30,29,1,0.9667,0,0.0,0,8545.02,1
txn_000220,cust_00438,5816.78,netbanking,success,none,18,14,4,0.7778,0,0.0,0,62908.06,1
txn_000221,cust_01794,1962.01,card,success,none,19,11,8,0.5789,0,0.0,0,39654.51,1
txn_000222,cust_02429,1167.42,card,success,none,10,9,1,0.9,0,0.0,0,9349.71,1
txn_000223,cust_02215,1713.48,netbanking,success,none,35,28,7,0.8,0,0.0,0,61888.36,1
txn_000224,cust_01841,862.16,upi,success,none,7,5,2,0.7143,0,0.0,0,58149.02,1
txn_000225,cust_00176,174.85,wallet,success,none,7,7,0,1.0,0,0.0,0,53698.12,1
txn_000226,cust_02143,503.08,wallet,abandoned,none,10,9,1,0.9,0,6.1,1,110652.05,1
txn_000227,cust_02374,1324.54,card,abandoned,none,40,31,9,0.775,0,0.35,1,24135.88,1
txn_000228,cust_00079,522.86,wallet,failed,technical_error,32,30,2,0.9375,0,3.47,0,122587.46,1
txn_000229,cust_00059,886.14,card,success,none,1,1,0,1.0,0,0.0,0,102362.23,1
txn_000230,cust_00399,2162.84,wallet,success,none,39,32,7,0.8205,0,0.0,0,6939.26,1
txn_000231,cust_00262,1548.47,upi,success,none,38,24,14,0.6316,0,0.0,0,141963.24,1
txn_000232,cust_00904,3860.2,upi,failed,authentication_failed,21,17,4,0.8095,2,11.38,0,129361.28,0
txn_000233,cust_01647,1797.53,netbanking,success,none,5,3,2,0.6,0,0.0,0,53221.69,1
txn_000234,cust_02236,1906.4,card,success,none,22,17,5,0.7727,0,0.0,0,120327.21,1
txn_000235,cust_00874,657.02,upi,success,none,34,30,4,0.8824,0,0.0,0,52332.7,1
txn_000236,cust_00495,353.86,netbanking,success,none,35,35,0,1.0,0,0.0,0,24538.37,1
txn_000237,cust_01516,886.32,card,success,none,24,17,7,0.7083,0,0.0,0,89161.95,1
txn_000238,cust_00167,647.3,card,success,none,29,24,5,0.8276,0,0.0,0,83200.38,1
txn_000239,cust_01541,1133.69,card,success,none,26,21,5,0.8077,0,0.0,0,105408.12,1
txn_000240,cust_00027,461.26,upi,success,none,7,6,1,0.8571,0,0.0,0,57638.81,1
txn_000241,cust_02432,3110.34,netbanking,success,none,17,15,2,0.8824,0,0.0,0,122770.36,1
txn_000242,cust_01950,644.92,card,success,none,15,9,6,0.6,0,0.0,0,1327.35,1
txn_000243,cust_02143,930.97,wallet,success,none,10,9,1,0.9,0,0.0,0,110652.05,1
txn_000244,cust_00155,1312.66,card,failed,technical_error,9,7,2,0.7778,0,8.82,0,40405.42,0
txn_000245,cust_01425,4118.22,wallet,success,none,31,23,8,0.7419,0,0.0,0,11553.42,1
txn_000246,cust_00482,7775.19,upi,success,none,4,3,1,0.75,0,0.0,0,44711.8,1
txn_000247,cust_02211,8328.53,card,success,none,37,22,15,0.5946,0,0.0,0,15559.82,1
txn_000248,cust_00853,371.74,netbanking,success,none,9,8,1,0.8889,0,0.0,0,128071.12,1
txn_000249,cust_00612,922.29,wallet,success,none,24,21,3,0.875,0,0.0,0,121953.62,1
txn_000250,cust_00177,762.51,upi,success,none,36,31,5,0.8611,0,0.0,0,132736.07,1
txn_000251,cust_01781,1939.74,netbanking,success,none,1,1,0,1.0,0,0.0,0,77215.54,1
txn_000252,cust_01857,1824.9,upi,success,none,17,17,0,1.0,0,0.0,0,115916.2,1
txn_000253,cust_02202,747.7,card,success,none,35,10,25,0.2857,0,0.0,0,75996.05,1
txn_000254,cust_02110,690.95,upi,success,none,24,19,5,0.7917,0,0.0,0,121347.26,1
txn_000255,cust_01822,494.02,netbanking,success,none,30,22,8,0.7333,0,0.0,0,22340.4,1
txn_000256,cust_01335,100.0,card,failed,network_error,16,12,4,0.75,1,1.46,0,46501.62,0
txn_000257,cust_00820,365.71,wallet,failed,insufficient_funds,34,31,3,0.9118,3,8.23,0,40741.38,1
txn_000258,cust_01786,3186.81,card,success,none,18,16,2,0.8889,0,0.0,0,96448.62,1
txn_000259,cust_00730,5794.73,wallet,success,none,19,14,5,0.7368,0,0.0,0,126819.83,1
txn_000260,cust_00796,5155.7,netbanking,abandoned,none,2,1,1,0.5,0,1.5,1,54206.99,1
txn_000261,cust_02330,3325.03,upi,success,none,10,7,3,0.7,0,0.0,0,71475.07,1
txn_000262,cust_01907,486.9,wallet,success,none,38,37,1,0.9737,0,0.0,0,72918.55,1
txn_000263,cust_00901,411.08,netbanking,success,none,11,8,3,0.7273,0,0.0,0,66501.22,1
txn_000264,cust_00697,218.98,card,success,none,38,23,15,0.6053,0,0.0,0,83593.14,1
txn_000265,cust_02004,747.55,card,success,none,36,34,2,0.9444,0,0.0,0,129861.38,1
txn_000266,cust_01144,1461.34,upi,failed,bank_decline,35,19,16,0.5429,1,4.65,0,97659.48,0
txn_000267,cust_02424,488.93,card,failed,insufficient_funds,14,12,2,0.8571,3,13.72,0,51945.02,1
txn_000268,cust_01928,2061.29,upi,success,none,32,27,5,0.8438,0,0.0,0,48774.44,1
txn_000269,cust_00402,2570.51,wallet,success,none,6,4,2,0.6667,0,0.0,0,35109.74,1
txn_000270,cust_00051,833.4,wallet,abandoned,none,9,7,2,0.7778,0,1.02,1,76919.42,1
