priority_rank,transaction_id,customer_id,amount,payment_method,payment_status,failure_reason,previous_transactions,previous_successes,previous_failures,previous_success_rate,retry_count,days_since_failure,checkout_abandoned,customer_lifetime_value,recovered,amount_log,recovery_probability,expected_recovery,revenue_at_risk,priority_score
17,txn_004355,cust_00593,18347.95,card,failed,bank_decline,6,5,1,0.8333,0,3.52,0,48994.66,1,9.817327631137102,0.34532277754988,6335.965056346321,18347.95,6335.965056346321
18,txn_002483,cust_00021,11885.98,wallet,abandoned,none,19,14,5,0.7368,0,0.67,1,124581.29,0,9.383198962468903,0.530446610206722,6304.8777999848935,11885.98,6304.8777999848935
19,txn_007765,cust_02346,10886.61,upi,abandoned,none,37,31,6,0.8378,0,1.22,1,97829.96,0,9.295380724439227,0.5753931515056792,6264.0808371132425,10886.61,6264.0808371132425
20,txn_002157,cust_01366,11075.82,netbanking,failed,bank_decline,3,3,0,1.0,0,1.41,0,68010.12,0,9.312609915497749,0.5332096934708574,5905.734587138392,11075.82,5905.734587138392
21,txn_005764,cust_01421,9688.65,wallet,abandoned,none,15,14,1,0.9333,0,3.4,1,78397.19,0,9.178813584521437,0.5834056227185683,5652.412886552257,9688.65,5652.412886552257
22,txn_000713,cust_00661,10530.71,card,failed,technical_error,30,23,7,0.7667,0,2.56,0,138253.2,1,9.262145985106072,0.515134167968273,5424.728533965173,10530.71,5424.728533965173
23,txn_004865,cust_00612,25905.59,wallet,failed,network_error,24,21,3,0.875,1,10.58,0,121953.62,0,10.162252655477664,0.19564278628963067,5068.241808076793,25905.59,5068.241808076793
24,txn_008438,cust_00577,10217.75,card,abandoned,none,23,19,4,0.8261,0,2.58,1,118707.71,0,9.231979547079664,0.49308388630861605,5038.2078793298615,10217.75,5038.2078793298615
25,txn_006769,cust_01834,7510.23,wallet,abandoned,none,3,3,0,1.0,0,2.79,1,80533.61,1,8.924154512971935,0.6577464230882352,4939.826919069956,7510.23,4939.826919069956
26,txn_000516,cust_00434,9875.64,upi,failed,insufficient_funds,8,6,2,0.75,0,2.42,0,69755.74,1,9.197927651929605,0.49964858682439567,4934.349569986474,9875.64,4934.349569986474
27,txn_008673,cust_01519,7803.45,wallet,abandoned,none,35,33,2,0.9429,0,2.25,1,114311.85,1,8.962449362817628,0.6159489035564409,4806.526471457509,7803.45,4806.526471457509
28,txn_002151,cust_01343,16288.26,card,failed,bank_decline,32,26,6,0.8125,0,5.14,0,44036.38,1,9.698261273922158,0.294508698219172,4797.034248855411,16288.26,4797.034248855411
29,txn_000352,cust_01670,9038.94,upi,failed,network_error,13,11,2,0.8462,0,6.58,0,61982.7,1,9.109407816196054,0.527654175788745,4769.434435703919,9038.94,4769.434435703919
30,txn_001587,cust_01993,16091.08,upi,failed,insufficient_funds,35,28,7,0.8,2,0.33,0,43603.27,0,9.686082504471688,0.28988254591016754,4664.523236844178,16091.08,4664.523236844178
31,txn_002751,cust_00750,12147.16,netbanking,abandoned,none,27,22,5,0.8148,0,4.62,1,144973.95,0,9.404932996971231,0.3827980593259015,4649.909274321218,12147.16,4649.909274321218
32,txn_006370,cust_00966,7009.83,card,abandoned,none,29,29,0,1.0,0,2.53,1,47740.18,1,8.855211375302092,0.653895912788878,4583.699186344861,7009.83,4583.699186344861
33,txn_004060,cust_02426,8845.7,card,abandoned,none,32,23,9,0.7188,0,0.15,1,149696.55,0,9.087799787108503,0.5149144851059849,4554.779060902011,8845.7,4554.779060902011
34,txn_006475,cust_00871,10942.35,card,abandoned,none,5,4,1,0.8,0,5.96,1,19673.69,0,9.300487244823627,0.41289765134507833,4518.070615195818,10942.35,4518.070615195818
35,txn_003008,cust_01849,10263.48,upi,failed,insufficient_funds,32,26,6,0.8125,1,1.28,0,54528.38,0,9.236444670595613,0.4288896693815395,4401.900543904043,10263.48,4401.900543904043
36,txn_006300,cust_01982,7371.15,card,abandoned,none,33,26,7,0.7879,0,1.16,1,45538.06,1,8.905464665842613,0.592987844648329,4371.00235107953,7371.15,4371.00235107953
37,txn_007136,cust_00965,8020.78,netbanking,abandoned,none,8,7,1,0.875,0,3.85,1,29426.86,1,8.989915621371539,0.5436205990040299,4360.261228079543,8020.78,4360.261228079543
38,txn_008210,cust_01517,8013.37,upi,abandoned,none,32,24,8,0.75,0,0.46,1,149670.28,1,8.988991459334217,0.5420341716598933,4343.52037015424,8013.37,4343.52037015424
39,txn_004143,cust_01020,7468.53,wallet,abandoned,none,39,30,9,0.7692,0,2.62,1,16987.8,1,8.918587357807395,0.5797228462984676,4329.677469265494,7468.53,4329.677469265494
40,txn_006094,cust_01419,20271.13,netbanking,failed,authentication_failed,1,1,0,1.0,1,8.35,0,32799.76,0,9.917002315326467,0.211083674671192,4278.904610137441,20271.13,4278.904610137441
41,txn_000546,cust_01875,12622.6,card,abandoned,none,23,14,9,0.6087,0,3.64,1,105812.08,0,9.44332335690558,0.33528573289161634,4232.1776919977165,12622.6,4232.1776919977165
42,txn_005088,cust_01973,5381.72,wallet,abandoned,none,9,9,0,1.0,0,0.46,1,16429.54,0,8.590949101603417,0.7754128150455041,4173.05465498669,5381.72,4173.05465498669
43,txn_008467,cust_00541,5768.15,upi,abandoned,none,5,5,0,1.0,0,0.75,1,95675.18,0,8.66028003495891,0.7144645556758485,4121.138726821646,5768.15,4121.138726821646
44,txn_000004,cust_01245,8615.97,upi,abandoned,none,11,10,1,0.9091,0,6.73,1,21687.17,1,9.061488793743628,0.47744772521083645,4113.67527698481,8615.97,4113.67527698481
45,txn_004265,cust_00954,6846.14,wallet,abandoned,none,2,2,0,1.0,0,5.16,1,55885.31,1,8.831586325823084,0.5969498288143926,4086.8021010393663,6846.14,4086.8021010393663
46,txn_008901,cust_01556,11127.57,card,failed,bank_decline,26,21,5,0.8077,0,3.14,0,77505.49,0,9.317270954433813,0.3578364919171611,3981.8506123626444,11127.57,3981.8506123626444
47,txn_004003,cust_00696,5367.34,netbanking,failed,technical_error,33,32,1,0.9697,0,1.68,0,58287.89,0,8.588274014946775,0.7282247081507055,3908.6296050456076,5367.34,3908.6296050456076
48,txn_006762,cust_01204,8766.41,card,abandoned,none,21,14,7,0.6667,0,3.84,1,3333.06,1,9.078796716777727,0.4426438733047465,3880.397677377463,8766.41,3880.397677377463
49,txn_008946,cust_01529,7313.02,netbanking,abandoned,none,4,3,1,0.75,0,0.28,1,145911.33,1,8.897548333187403,0.5301065897799438,3876.6800931925254,7313.02,3876.6800931925254
50,txn_007325,cust_00030,9423.05,card,abandoned,none,23,19,4,0.8261,0,6.56,1,32216.55,0,9.15102021148001,0.40902881404582453,3854.2989661945066,9423.05,3854.2989661945066
51,txn_005304,cust_00014,7887.1,netbanking,abandoned,none,14,12,2,0.8571,0,3.1,1,143624.75,0,8.973110573686899,0.48725791185373174,3843.0518765815677,7887.1,3843.0518765815677
52,txn_009099,cust_02097,8275.21,wallet,failed,technical_error,37,31,6,0.8378,1,2.07,0,127985.42,0,9.021140413120595,0.46405738525283396,3840.1723150181037,8275.21,3840.1723150181037
53,txn_001082,cust_02100,7857.3,wallet,abandoned,none,5,3,2,0.6,0,1.83,1,38352.45,1,8.969325577043003,0.48412774913032824,3803.9369632417283,7857.3,3803.9369632417283
54,txn_001653,cust_01277,7734.18,card,abandoned,none,16,13,3,0.8125,0,4.33,1,38649.57,0,8.953534033583205,0.4899244491188279,3789.163875885856,7734.18,3789.163875885856
55,txn_008960,cust_00226,10948.04,card,abandoned,none,16,13,3,0.8125,0,6.82,1,101246.55,0,9.301007060168423,0.3413330169311702,3736.9275226831287,10948.04,3736.9275226831287
56,txn_001771,cust_01588,5734.81,upi,failed,insufficient_funds,35,31,4,0.8857,0,0.38,0,119432.09,0,8.654484257602528,0.6497350875568224,3726.107277471741,5734.81,3726.107277471741
57,txn_003257,cust_00593,7291.56,card,failed,network_error,6,5,1,0.8333,1,2.65,0,48994.66,1,8.894609929339158,0.5102150164308074,3720.263405206218,7291.56,3720.263405206218
58,txn_002846,cust_01645,9059.73,netbanking,failed,network_error,22,19,3,0.8636,1,5.11,0,67547.86,1,9.111704969742553,0.4092428016513451,3707.6292874047404,9059.73,3707.6292874047404
59,txn_009726,cust_02323,7327.72,upi,failed,network_error,24,17,7,0.7083,1,1.25,0,55396.62,0,8.89955615480254,0.505372902608925,3703.231125905472,7327.72,3703.231125905472
60,txn_009956,cust_00571,5693.87,card,abandoned,none,10,9,1,0.9,0,0.34,1,118507.92,1,8.647321048579478,0.6495547987196051,3698.4805817855977,5693.87,3698.4805817855977
61,txn_006416,cust_01693,9399.63,netbanking,abandoned,none,7,5,2,0.7143,0,5.42,1,13770.39,1,9.148531987288866,0.392860815683167,3692.746308919967,9399.63,3692.746308919967
62,txn_000936,cust_00724,7906.3,netbanking,abandoned,none,28,22,6,0.7857,0,3.81,1,76764.78,0,8.975541662416063,0.46609033556345586,3685.050020065351,7906.3,3685.050020065351
63,txn_009329,cust_02399,5717.63,wallet,abandoned,none,28,26,2,0.9286,0,1.73,1,119896.75,1,8.651484545197116,0.6425129277094487,3673.651190859375,5717.63,3673.651190859375
64,txn_005788,cust_00828,5993.29,netbanking,abandoned,none,29,28,1,0.9655,0,3.32,1,53380.5,1,8.6985626284213,0.6118680856144127,3667.1028788320036,5993.29,3667.1028788320036
65,txn_004681,cust_00092,10459.03,wallet,failed,insufficient_funds,36,28,8,0.7778,0,8.54,0,35287.1,1,9.255316605683635,0.33626137031298564,3516.9677599446263,10459.03,3516.9677599446263
66,txn_000689,cust_01602,5921.8,card,abandoned,none,15,12,3,0.8,0,0.99,1,86778.12,1,8.686564589034564,0.5898678081190083,3493.0791861191433,5921.8,3493.0791861191433
67,txn_004473,cust_01685,11328.56,netbanking,failed,insufficient_funds,17,14,3,0.8235,0,9.39,0,14579.39,0,9.335170518316499,0.3057795534784898,3464.04201835428,11328.56,3464.04201835428
68,txn_001260,cust_00976,10420.96,card,failed,network_error,22,17,5,0.7727,2,1.29,0,82394.71,1,9.251670397426869,0.3302568070331024,3441.5929758196785,10420.96,3441.5929758196785
69,txn_009349,cust_01749,5076.67,netbanking,abandoned,none,33,31,2,0.9394,0,1.12,1,61104.39,1,8.532607773937883,0.677244114499313,3438.144878755227,5076.67,3438.144878755227
70,txn_002004,cust_02473,5833.16,netbanking,abandoned,none,18,17,1,0.9444,0,2.54,1,130281.61,1,8.671485575488688,0.583975352308003,3406.421666068951,5833.16,3406.421666068951
71,txn_002623,cust_01852,5711.4,wallet,abandoned,none,15,14,1,0.9333,0,3.4,1,109348.16,0,8.650394529578778,0.5956259934171516,3401.8582988027197,5711.4,3401.8582988027197
72,txn_001597,cust_00821,8047.48,netbanking,failed,technical_error,6,5,1,0.8333,1,2.72,0,109335.12,1,8.993238532708116,0.41599296090637944,3347.6950330348704,8047.48,3347.6950330348704
73,txn_005820,cust_00171,7714.38,netbanking,abandoned,none,24,18,6,0.75,0,4.15,1,87793.93,1,8.950971018282928,0.427943299298799,3301.317229244669,7714.38,3301.317229244669
74,txn_004000,cust_01680,5789.17,wallet,abandoned,none,7,4,3,0.5714,0,0.28,1,4834.62,0,8.6639169311032,0.5660476635458142,3276.946152369521,5789.17,3276.946152369521
75,txn_004938,cust_02070,4487.81,upi,failed,technical_error,28,25,3,0.8929,0,1.62,0,48144.23,1,8.409342912201167,0.7275167168693348,3264.95679713337,4487.81,3264.95679713337
76,txn_008822,cust_01506,5181.25,netbanking,abandoned,none,8,8,0,1.0,0,3.48,1,75804.1,1,8.55299460387962,0.6251893113410405,3239.2621193857663,5181.25,3239.2621193857663
77,txn_001725,cust_00493,4682.23,netbanking,abandoned,none,1,1,0,1.0,0,0.84,1,134937.37,1,8.451743321793428,0.6858164739859495,3211.1504689912317,4682.23,3211.1504689912317
78,txn_004489,cust_01229,5443.52,card,abandoned,none,21,17,4,0.8095,0,1.88,1,54744.33,1,8.602364877211272,0.5894220518351105,3208.5307276054614,5443.52,3208.5307276054614
79,txn_000648,cust_00702,5719.9,wallet,failed,insufficient_funds,4,3,1,0.75,0,2.11,0,68127.94,0,8.65188141465413,0.5597872100404943,3201.926862710623,5719.9,3201.926862710623
80,txn_008648,cust_00757,6158.52,wallet,failed,network_error,19,11,8,0.5789,0,4.76,0,13497.39,0,8.725754131413561,0.5149164539368574,3171.123279899215,6158.52,3171.123279899215
81,txn_002167,cust_02420,11716.59,wallet,failed,network_error,7,5,2,0.7143,2,3.56,0,43035.07,0,9.36884641058665,0.2699442716322859,3162.826353564125,11716.59,3162.826353564125
82,txn_000312,cust_01820,20396.49,wallet,failed,network_error,13,9,4,0.6923,1,11.3,0,52057.81,0,9.923167133046677,0.15469872386771125,3155.310974380534,20396.49,3155.310974380534
83,txn_000272,cust_01882,5329.04,upi,abandoned,none,37,34,3,0.9189,0,3.3,1,100684.27,1,8.581114021822161,0.5833157904189566,3108.5131797742365,5329.04,3108.5131797742365
84,txn_007012,cust_01593,7325.49,upi,failed,bank_decline,25,21,4,0.84,0,3.5,0,41294.92,1,8.899251826168939,0.42426843651815466,3107.9741890293767,7325.49,3107.9741890293767
85,txn_005080,cust_02326,19692.92,netbanking,failed,bank_decline,37,29,8,0.7838,1,4.45,0,103215.77,0,9.888065237648588,0.15616050962626746,3075.256423229315,19692.92,3075.256423229315
86,txn_009901,cust_01467,3998.94,upi,failed,network_error,35,32,3,0.9143,0,1.14,0,92791.01,1,8.294034639989526,0.7650685105540387,3059.4630695949677,3998.94,3059.4630695949677
87,txn_000511,cust_00075,5840.84,netbanking,failed,network_error,24,22,2,0.9167,1,2.53,0,131929.56,0,8.672801094691769,0.5177578079365899,3024.1405149083516,5840.84,3024.1405149083516
88,txn_008277,cust_01345,13839.44,card,failed,bank_decline,29,18,11,0.6207,0,4.49,0,93292.09,1,9.535350020573823,0.21731729178461304,3007.5496206156454,13839.44,3007.5496206156454
89,txn_007959,cust_00339,5185.65,wallet,abandoned,none,36,29,7,0.8056,0,2.68,1,80107.37,1,8.5538432956915,0.5773903207472071,2994.1441167827543,5185.65,2994.1441167827543
90,txn_004491,cust_00153,6753.57,wallet,failed,network_error,36,33,3,0.9167,2,2.54,0,45607.43,1,8.817974591817432,0.43763306641044886,2955.585548317615,6753.57,2955.585548317615
91,txn_000157,cust_02091,4309.53,wallet,failed,network_error,20,18,2,0.9,0,5.23,0,32297.88,1,8.36881614537521,0.6798865795744607,2929.9916112735255,4309.53,2929.9916112735255
92,txn_005441,cust_01277,6602.66,card,failed,insufficient_funds,16,13,3,0.8125,0,5.86,0,38649.57,1,8.795379319765553,0.4404238944388621,2907.9692308556973,6602.66,2907.9692308556973
93,txn_005695,cust_02448,4210.45,wallet,abandoned,none,21,19,2,0.9048,0,2.53,1,3245.09,1,8.345562285430402,0.6901549507426874,2905.862912354548,4210.45,2905.862912354548
94,txn_008649,cust_01053,6112.1,card,failed,network_error,14,13,1,0.9286,1,4.24,0,114517.08,1,8.718189288475001,0.475124209221891,2904.0066791851204,6112.1,2904.0066791851204
95,txn_003583,cust_02488,4672.28,card,abandoned,none,10,9,1,0.9,0,1.97,1,92342.85,1,8.449616459587162,0.6211493726650055,2902.1837909152514,4672.28,2902.1837909152514
96,txn_002802,cust_00219,5206.11,upi,abandoned,none,38,26,12,0.6842,0,1.05,1,91392.57,0,8.557780278347865,0.5525702414917154,2876.7414599324343,5206.11,2876.7414599324343
97,txn_003825,cust_00005,5911.71,card,failed,network_error,28,27,1,0.9643,2,2.15,0,5735.62,0,8.684859550139842,0.4819988886775546,2849.437650183986,5911.71,2849.437650183986
98,txn_007321,cust_01858,5049.25,upi,abandoned,none,40,36,4,0.9,0,5.31,1,8239.46,0,8.52719302599457,0.5633502353611199,2844.496175897135,5049.25,2844.496175897135
99,txn_002409,cust_01998,9763.54,netbanking,failed,bank_decline,11,8,3,0.7273,0,2.8,0,147546.33,0,9.18651273518636,0.2902163626392111,2833.539065282443,9763.54,2833.539065282443
100,txn_003934,cust_02196,4571.42,wallet,abandoned,none,9,6,3,0.6667,0,0.69,1,17176.95,1,8.427797884212568,0.6132710084474322,2803.5193534367604,4571.42,2803.5193534367604
101,txn_002515,cust_01488,5581.15,wallet,abandoned,none,28,20,8,0.7143,0,3.99,1,41525.11,0,8.627329285824077,0.4998827307036609,2789.9205024667367,5581.15,2789.9205024667367
102,txn_000443,cust_00118,6230.04,netbanking,abandoned,none,26,17,9,0.6538,0,1.72,1,135463.99,1,8.737298532038944,0.447221699900387,2786.2090792474073,6230.04,2786.2090792474073
103,txn_006127,cust_00844,4771.58,card,abandoned,none,21,16,5,0.7619,0,0.83,1,97784.55,1,8.470642318162396,0.5818093968025522,2776.1500815951217,4771.58,2776.1500815951217
104,txn_008299,cust_01345,10983.83,upi,failed,technical_error,29,18,11,0.6207,0,9.34,0,93292.09,1,9.30427050905035,0.2527193271765965,2775.826127422116,10983.83,2775.826127422116
105,txn_000014,cust_01627,5065.24,upi,failed,network_error,28,26,2,0.9286,0,7.29,0,118984.54,0,8.530354204094037,0.5452894116912295,2762.021739674883,5065.24,2762.021739674883
106,txn_001904,cust_00128,3885.87,upi,failed,network_error,38,37,1,0.9737,0,4.32,0,72041.49,1,8.26535948547688,0.7099107573054462,2758.620914490514,3885.87,2758.620914490514
107,txn_000838,cust_02208,5758.5,upi,failed,bank_decline,34,30,4,0.8824,0,2.61,0,64914.48,0,8.658605944366562,0.4788134026241483,2757.2469790111577,5758.5,2757.2469790111577
108,txn_008184,cust_00609,5009.42,upi,abandoned,none,31,26,5,0.8387,0,4.83,1,11002.86,0,8.519275022900507,0.5479896796620292,2745.110461092562,5009.42,2745.110461092562
109,txn_000484,cust_00196,4343.56,upi,failed,technical_error,2,2,0,1.0,0,7.2,0,18185.92,1,8.376679766748978,0.6254982993947119,2716.889393318895,4343.56,2716.889393318895
110,txn_005292,cust_00418,6040.45,card,abandoned,none,6,5,1,0.8333,0,5.99,1,47863.06,0,8.70639932834274,0.4495123456533644,2715.256848301865,6040.45,2715.256848301865
111,txn_008295,cust_00073,13714.23,wallet,failed,network_error,39,29,10,0.7436,3,2.29,0,49299.25,0,9.526262173190988,0.19782855828850046,2713.0663489369017,13714.23,2713.0663489369017
112,txn_005368,cust_02335,4253.64,netbanking,abandoned,none,20,15,5,0.75,0,0.28,1,38395.13,1,8.35576543108268,0.6348590944875955,2700.462038676216,4253.64,2700.462038676216
113,txn_007822,cust_00887,5561.74,upi,abandoned,none,11,7,4,0.6364,0,1.75,1,89179.46,1,8.623846071611146,0.4852074789371101,2698.5978439036826,5561.74,2698.5978439036826
114,txn_005199,cust_01412,4477.85,wallet,abandoned,none,18,11,7,0.6111,0,0.39,1,14907.66,0,8.407121596028292,0.6003861557238732,2688.439147408146,4477.85,2688.439147408146
115,txn_009523,cust_02034,3784.09,netbanking,failed,network_error,33,27,6,0.8182,0,2.61,0,24746.2,1,8.23882494366019,0.7058067494841729,2670.836262655564,3784.09,2670.836262655564
116,txn_000523,cust_01880,3829.16,netbanking,abandoned,none,1,1,0,1.0,0,3.15,1,2899.66,0,8.25066185675904,0.6974946989269529,2670.818801343131,3829.16,2670.818801343131
117,txn_004740,cust_01321,9668.32,card,failed,insufficient_funds,25,16,9,0.64,0,8.24,0,1663.06,0,9.176713265395621,0.27624173649678185,2670.793505806566,9668.32,2670.793505806566
118,txn_009662,cust_01820,6007.11,wallet,abandoned,none,13,9,4,0.6923,0,4.73,1,52057.81,1,8.700865502197802,0.44350464515862065,2664.1811889788014,6007.11,2664.1811889788014
119,txn_006580,cust_01734,10332.42,upi,failed,network_error,18,13,5,0.7222,2,2.46,0,134657.67,0,9.243138581860777,0.25576477218626187,2642.669047432776,10332.42,2642.669047432776
120,txn_008217,cust_01654,4722.39,netbanking,abandoned,none,31,25,6,0.8065,0,1.73,1,118520.77,1,8.460282041121786,0.5588058238765663,2638.8990346164583,4722.39,2638.8990346164583
121,txn_002761,cust_00385,4211.05,card,abandoned,none,30,25,5,0.8333,0,2.42,1,11605.78,1,8.345704744028613,0.6257557611912102,2635.088798164246,4211.05,2635.088798164246
122,txn_008441,cust_02113,4951.74,upi,failed,insufficient_funds,15,14,1,0.9333,0,4.97,0,107117.67,0,8.50769623777209,0.5309849368835013,2629.299351363509,4951.74,2629.299351363509
123,txn_001939,cust_01438,4664.39,wallet,abandoned,none,7,5,2,0.7143,0,2.72,1,21861.96,0,8.447926711073226,0.5630789866441127,2626.419994512933,4664.39,2626.419994512933
124,txn_002090,cust_02155,5297.84,upi,failed,network_error,18,13,5,0.7222,1,1.0,0,125395.97,0,8.575243207660606,0.4947009115462492,2620.846277226181,5297.84,2620.846277226181
125,txn_008371,cust_00791,4563.65,upi,abandoned,none,34,31,3,0.9118,0,4.07,1,82068.21,1,8.426097119772116,0.5736742265111985,2618.0483838178307,4563.65,2618.0483838178307
126,txn_009296,cust_02475,4012.78,wallet,abandoned,none,36,28,8,0.7778,0,1.55,1,24891.17,0,8.29748871968286,0.6521641489408967,2616.9912535870517,4012.78,2616.9912535870517
127,txn_000858,cust_01487,8172.99,netbanking,failed,bank_decline,2,2,0,1.0,1,3.9,0,50916.64,1,9.008712440732234,0.3200068733429106,2615.412975762875,8172.99,2615.412975762875
128,txn_007910,cust_02207,8311.05,upi,failed,insufficient_funds,24,15,9,0.625,0,5.17,0,131348.82,0,9.025461548160393,0.3134865228432032,2605.4021656760037,8311.05,2605.4021656760037
129,txn_007248,cust_00057,6026.14,upi,failed,authentication_failed,30,22,8,0.7333,0,3.2,0,79838.04,1,8.704027882016977,0.43211013384190866,2603.9561619500796,6026.14,2603.9561619500796
130,txn_008724,cust_01206,5832.86,wallet,abandoned,none,26,14,12,0.5385,0,1.05,1,139402.37,0,8.671434152882272,0.4449119019003964,2595.1088361187462,5832.86,2595.1088361187462
131,txn_000741,cust_00098,8230.3,card,failed,network_error,14,12,2,0.8571,2,3.47,0,81345.86,0,9.015699239884682,0.3144695985789855,2588.179137184624,8230.3,2588.179137184624
132,txn_004021,cust_00401,4815.76,netbanking,abandoned,none,39,37,2,0.9487,0,5.74,1,38304.82,0,8.479856781847364,0.536833968532527,2585.2635523002023,4815.76,2585.2635523002023
133,txn_004360,cust_01526,7720.81,card,failed,insufficient_funds,20,17,3,0.85,0,9.63,0,16488.4,0,8.951804071496868,0.3340144021960504,2578.861736619288,7720.81,2578.861736619288
134,txn_000438,cust_00612,4048.78,upi,abandoned,none,24,21,3,0.875,0,1.27,1,121953.62,1,8.306417837637492,0.6361669159707501,2575.699886044054,4048.78,2575.699886044054
135,txn_005121,cust_00839,5480.28,upi,abandoned,none,37,27,10,0.7297,0,5.4,1,5825.41,1,8.609093929309621,0.4685339558917051,2567.6972677941935,5480.28,2567.6972677941935
136,txn_003767,cust_00154,3293.55,wallet,failed,network_error,7,7,0,1.0,0,1.94,0,140900.57,1,8.100024867048543,0.7795036926382606,2567.334386888743,3293.55,2567.334386888743
137,txn_006695,cust_01561,10911.19,card,failed,network_error,16,12,4,0.75,1,9.6,0,15114.07,1,9.297635791955116,0.23457534731913582,2559.4961839150815,10911.19,2559.4961839150815
138,txn_007481,cust_02019,4465.46,upi,abandoned,none,5,3,2,0.6,0,0.16,1,28859.51,0,8.40435142754375,0.5714612401084226,2551.8373092545567,4465.46,2551.8373092545567
139,txn_001267,cust_01133,4351.61,netbanking,abandoned,none,36,30,6,0.8333,0,3.14,1,33335.46,1,8.378530944154697,0.5817891638109839,2531.7195431315154,4351.61,2531.7195431315154
140,txn_008034,cust_01486,6521.63,upi,abandoned,none,8,6,2,0.75,0,5.49,1,115943.11,1,8.783032947820313,0.3873527160513977,2526.171093582277,6521.63,2526.171093582277
141,txn_007386,cust_00707,4850.28,netbanking,abandoned,none,34,31,3,0.9118,0,4.98,1,78889.46,0,8.486997866637198,0.5195116363838003,2519.7768997196185,4850.28,2519.7768997196185
142,txn_005916,cust_00440,4388.99,netbanking,abandoned,none,16,13,3,0.8125,0,2.55,1,69061.18,0,8.387082228162294,0.5668598034544007,2487.94200876333,4388.99,2487.94200876333
143,txn_004606,cust_01561,3619.07,wallet,abandoned,none,16,12,4,0.75,0,0.31,1,15114.07,1,8.194248641649434,0.6864359341892808,2484.2596963464007,3619.07,2484.2596963464007
144,txn_005713,cust_01577,8154.76,wallet,failed,network_error,25,22,3,0.88,3,0.27,0,102798.72,0,9.006479705072078,0.3039210424815959,2478.403160387219,8154.76,2478.403160387219
145,txn_008350,cust_00389,5270.8,wallet,abandoned,none,35,28,7,0.8,0,6.31,1,34496.61,0,8.570127139195673,0.4700298291209545,2477.433223330727,5270.8,2477.433223330727
